ted_id,youtube_id,headline_dist,ted_speaker,yt_speaker,ted_headline,yt_headline
2293,wfW3aZCFfLA,0.0130,Jimmy Carter,Jimmy Carter,Why I believe the mistreatment of women is the number one human rights abuseA,Why I believe the mistreatment of women is the number one human rights abuse
2164,3zqZPujAPuc,0.0149,Fredy Peccerelli,Fredy Peccerelli,"A forensic anthropologist who brings closure for theA ""disappeared""","A forensic anthropologist who brings closure for the ""disappeared"""
1916,0Y8-IzP01lw,0.0167,Nicolas Perony,Nicolas Perony,"Puppies! Now that Iave got your attention, complexity theory","Puppies! Now that I've got your attention, complexity theory"
2316,_qgSz1UmcBM,0.0172,Jim Al-Khalili,Jim Al-Khalili,How quantum biology might explain lifeas biggest questions,How Quantum Biology Might Explain Life's Biggest Questions
1771,nLeeTVmVrtA,0.0172,Joseph Kim,Joseph Kim,The family I lost in North Korea. And the family I gained.,The family I lost in North Korea. And the family I gained
2212,ygmlKMQ8kc4,0.0185,Alison Killing,Alison Killing,"Thereas a better way to die, and architecture can help","There's a better way to die, and architecture can help"
2024,lyR-K2CZIHQ,0.0185,Zak Ebrahim,Zak Ebrahim,I am the son of a terrorist. Here's how I chose peace.,I am the son of a terrorist. Here's how I chose peace
2141,_XJ20tt5nPQ,0.0204,Mark Plotkin,Mark Plotkin,What the people of the Amazon know that you donat,What the people of the Amazon know that you don't
1819,SF242mxtZN8,0.0208,Sonia Shah,Sonia Shah,3 reasons we still havenat gotten rid of malaria,3 reasons we still haven't gotten rid of malaria
2175,v84pD2g3gSk,0.0222,Khadija Gbla,Khadija Gbla,My motheras strange definition of empowerment,My mother's strange definition of empowerment
1952,zLNXIXingyU,0.0222,Richard Ledgett,Richard Ledgett,The NSA responds to Edward Snowdenas TED Talk,The NSA responds to Edward Snowden's TED Talk
80,5KdOPY1Iqiw,0.0238,Juan Enriquez,Juan Enriquez,The life code that will reshape the future,The life-code that will reshape the future
1929,NoCOagL69_s,0.0244,Michael Metcalfe,Michael Metcalfe,We need money for aid. So letas print it.,We need money for aid. So let's print it.
2099,JFQLvbVJVMg,0.0244,Susan Colantuono,Susan Colantuono,The career advice you probably didnat get,The career advice you probably didn't get
1320,sHJZRPWXQ9s,0.0250,"Lauren Hodge, Shree Bose + Naomi Shah","Lauren Hodge, Shree Bose + Naomi Shah",Award-winning teenage science in action,Award-winning teen-age science in action
686,I7QwxbImhZI,0.0256,Devdutt Pattanaik,Devdutt Pattanaik,East vs. West -- the myths that mystify,East vs west -- the myths that mystify
1898,buRLc2eWGPQ,0.0256,Maysoon Zayid,Maysoon Zayid,I got 99 problems ... palsy is just one,I got 99 problems... palsy is just one
2295,xkFTZcUPjBg,0.0263,Memory Banda,Memory Banda,A warrioras cry against child marriage,A Warrior's Cry Against Child Marriage
2076,dJEwC4wCM70,0.0263,Rishi Manchanda,Rishi Manchanda,What makes us get sick? Look upstream,What makes us get sick? Look upstream.
2232,J5jwEyDaR-0,0.0263,Takaharu Tezuka,Takaharu Tezuka,The best kindergarten youave ever seen,The best kindergarten you've ever seen
594,wJttdkKo4nM,0.0270,Kary Mullis,Kary Mullis,A next-gen cure for killer infections,A next-gen cure for killer infection
2029,GtXyGFMBWBs,0.0270,Shaka Senghor,Shaka Senghor,Why your worst deeds donat define you,Why your worst deeds don't define you
1510,xEtXItg9hEE,0.0278,Jamie Drummond,Jamie Drummond,Let's crowdsource the world's goals,Let's crowd-source the world's goals
2178,ce31WjiVcY0,0.0286,Ben Ambridge,Ben Ambridge,"10 myths about psychology, debunked",10 myths about psychology: debunked
734,pZni9Kx9Jfw,0.0286,Kartick Satyanarayan,Kartick Satyanarayan,"How we rescued the ""dancing"" bears""","How we rescued the ""dancing"" bears"
2225,6Af6b_wyiwI,0.0294,Bill Gates,Bill Gates,The next outbreak? Weare not ready,The next outbreak? We're not ready
2249,6-tqiaPoS2U,0.0303,Anand Varma,Anand Varma,The first 21 days of a beeas life,The first 21 days of a bee's life
2030,0SkdP36wiAU,0.0313,Lorrie Faith Cranor,Lorrie Faith Cranor,Whatas wrong with your pa$$w0rd?,What's wrong with your pa$$w0rd?
2108,c64M1tZyWPM,0.0313,Myriam Sidibe,Myriam Sidibe,The simple power of hand-washing,The simple power of handwashing
2133,lVQ3KUTHDe0,0.0323,Leana Wen,Leana Wen,What your doctor wonat disclose,What your doctor won't disclose
1883,NCJTV5KaJJc,0.0323,Sally Kohn,Sally Kohn,Letas try emotional correctness,Let's try emotional correctness
